text,sentiment
"*أنسّى الألمَ ؟ أنها مجرد حياهَ ولن تدوّم ..* 🖤🍁
Forget the pain , it's just life will not last.",neutral
الحراميه اللي سارقه الموسيقي من اغنيه فنانه كوريه اسمها آيو الاغنيه اسمها  friday   نفس النغمه في البدايه,negative
مش عارف ليه حاس اني داخل pupge 😂😂😂,neutral
500 مليون ههههههه والله العظيم ماتستاهل حتى 50 views,negative
جميل الاعلان وشكرا شركة wE 🤗💓,positive
"كريم عبد العزيز : هايدي موسى؟! ستار اكاديمي؟ الله !!دي حته صوت👌❤️و أمير كرارة : و هو بيقول كان معايا قبل كده حتة صوت قلت لازم أجيبه تاني تسمعه !! جايبلك هدية !! صوت و حاجة فوق الخيااااال😍👌
هايدي موسى في جملتين😍❤️
i'm so proud of you Haidy😌❤️",positive
لقاء rap or die واحمد كامل,neutral
العيال الكتيانه ابتوع الصفح عاملين dislike :D,negative
من طرف BIG 💜💜💜💜💜💜,positive
اموت واعرف مين ولاد المره اللي عاملين dislike -_- >_<,negative
قناة dmc السنادي جايبه اكثر نجمين في الساحه الدراميه ب عادل امام و محمد رمضان ياعني اكثر نجمين عمالقه مشهورين في مصر,positive
يعني اللي عاملين  unlike  جايين منين دول  ولا ماعندهومش احساس ولا نيله,negative
I LOVE you حماده هلال,positive
انا جيت بس علشان احط Dislike 👎,negative
بحبك يا حسن 😍 انا مضروبة فيك والله قلبي الصغير لا يتحمل 🥺🥺🥺🥺 عندك صوت  special 🤧🤧🤧🤧,positive
جميلة جدا ..بتفكرني بشخص عزيز  عليا كثير من مصر تحيا لي yahai asker😘😔,positive
عاااااااش جدا    abu,positive
"فين مراجعة  black widow 
مهو انا مش هحبط لواحدي 
ده انا مستنيه مراجعتك يمكن انا فهمت الفيلم غلط ولا تقيمي سقطت منه حاجات 
يمكن الفيلم ميبقاش محبط اوي اوي زي مانا شوفته 😭😭😭😭😭😭😭",negative
اول مره اشوف فيديو واخد ال dislikes دي ✋,neutral
الفيديو 1 Trending عااش يا يايا😂,positive
"مراد يلدرم
Murat yldrm",neutral
I Love you هيفاء وهبى قلبى ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘❤️❤️❤️❤️❤️❤️❤️❤️😘😘😘😘😘,positive
انا بعد اللاين الي في اخر الحلقه عملت unsubscribe و dislike و مش هتفرج علي الشو دا تاني,negative
"Bravo ! beautiful song
 من تونس",positive
الصراحة يعني لما شفت الاعلان و شفتوهم بيقولوا shark بدل قرش اتنرفزت اوي الي هو مدام عربي قولوا قرش دا حتي هتبقي لايقة  اكتر محبكتش خلاص الhigh class society فكلمة قرش الصراحة سخيفة اوي...,negative
راجع مسلسل stranger things,neutral
"أهلا حمادة my best singer
أنا عندي قناة ياريت تدعمنا",positive
ايه الجمال ده كله 😍 can't wait 🔥,positive
ارجو من شركة Synergy ان تترجم هذا العمل العظيم اكثر من لغة على اليوتيوب,positive
اشتركوا في قناة mohamed mostafa,neutral
هما بجد مش عارفين يعملوا edit يخلى صوته اقل ازعاجا و اهدا فى الطبقات العاليه,negative
حمدى المرغنى احلى كوميديان فى العالم هسترية ضحك اسطورة ربنا يخليى انا بحبو اوييييييي i love you,positive
Cgi مش قد كدة لسا ما وصلش لمستوي عالمي,negative
يا ريت يا ويي ارجعوا النت منغير باقات رجعوها بمناسبة كورونا unlimited علشان الباقة مستفزة ومش عارف ادخل علي اي موقع او منصة تعليمية,negative
لما تعمل video clib ب اتنين جنيه,negative
اذا كنت بتحب النبي حط لايك وإشترك في قناتي نفسي اوصل قناتي 20 k الله يفرحك اذا فرحتني,neutral
الشعب يطالب ب fast 9,neutral
She is a legend الأسطورة ❤️,positive
"752 Dislike ? 
انتوا شكلكوا من الى بيحبوا اوكا و اورتيجا ",negative
تفكريني باغاني فلم lala land,neutral
اي حد عمل dislike اكيد واحد حلووووف🙄🙄🙄,negative
"اولاً:اشترك بلقناه

ثانيا ً:انشر او حط الرابط حاله عادي🌚💐

ثالثاً:عشان الكل يشوف برنامج الصدمه اول ماينزل Soon #خليك_انسان

وبشوف الي بينفذ طلبي واول مره اطلب شي منك 💐😊☂️😍


https://youtube.com/channel/UCTX47RDgpEt1-aTX-WafuTQ.
  😍❤️☂️واي استفسار هنا-وتس/738866756🌹🇾🇪",neutral
الي يحب القران الكريم يدخل علي القناه دي alshbrwy etawy,neutral
الاغنيه ع الفيس فى مصر متتشره ومحققه مشاهده عاليه😍😍❤ زى صفحه okay نزلت امبارح وعدت المليون وعجبت المصريين جدا 😍🙈 شابو ماجد المهندس عاوزين منك كتير بالمصرى يا ريت😍❤👏 وتحيه للجميع وخصوصا العراقيين بحسهم شبهنا😍😍,positive
اخيرا الاغنيه نذلت كنت بسمعها علي نجوم fm وعمال ادور عليها,positive
"احلى unlike 😂😂 , يلا يا فن هابط ومن غير. View",negative
I'm addicted to this ad! <3  حتة مجدي عبد الغني ههههه﻿,positive
Love you ميدو,positive
مسلسل هيكون number 1 انشاء الله🤗🤗,positive
الناس الي عاامله dislike اكيد ناس مابتفهمش حااجه,negative
ربنا يحميك ويخليك لينا احلى فنان 😍تامر عاشور بحس وانا بسمعك كأنى فى عالم تانى بجد انت اجمل فنان شوفته I love you tamer,positive
